#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
       1   11.651    1.049   13.126   -1.990    1.214
       2   12.019   -4.518   16.239   -1.263    2.384
       3   10.791    0.054   11.038   -4.788    1.497
       4   13.876   -5.404   15.871   -5.080    1.274
       5   14.503   -2.803   20.355    0.710    2.073
       6   16.553   -6.003   20.152   -3.237    4.839
       7    7.172   -6.950   11.984   -0.566    2.764
       8    4.235   -9.731   14.220   -5.032    6.414
       9    4.429   -8.393   15.401   -2.356    3.281
      10    6.109   -7.519   13.870   -3.995    4.551
      11    4.826   -8.159   10.981   -5.098    3.180
      12   -2.071   -6.205   10.122   -1.090    6.154
      13   -3.353   -5.026    9.290    1.492    6.687
      14    3.112   -5.409    7.797   -2.993    9.673
      15    4.253   -8.635   15.634   -3.419    8.735
      16   -3.996   -3.919   16.202    0.766    6.549
      17   -4.861   -3.248   15.536   -4.901    6.636
      18    0.141   -0.529   15.316   -2.441    7.735
      19    5.121    2.095    9.528   -5.544    5.553
      20    9.457   -0.173    5.472   -3.495    1.806
      21    3.554   -4.322    7.017   -3.843    7.819
      22    9.046   -2.601   11.612   -4.304    7.883
      23   15.276   -4.890   11.204   -6.828    4.003
      24   10.272   -5.376   15.563   -5.558    7.889
      25    7.769   -2.641   15.997   -6.381    5.108
      26    8.412    0.953   14.593   -0.964    5.889
      27    8.525   -1.597    9.164   -3.501    5.555
      28   14.203    1.826   13.433   -8.269    5.443
      29   16.473    2.292    6.253  -10.347    4.591
      30   16.325    2.736   11.562  -10.087    5.212
      31   19.609   -0.030   17.483   -6.415    1.785
      32   13.209   -4.224   14.916   -9.369    5.234
      33   14.033   -1.739    8.989   -8.931    4.620
      34    8.778   -5.243   11.547   -4.152    3.438
      35    9.225   -3.871    6.219   -5.532    2.550
      36   17.133   -4.435   11.195   -7.780    0.337
      37   15.362   -8.238   11.539   -7.588    1.357
      38   20.143   -7.459   16.044   -4.058    3.781
      39   15.759   -5.293   15.805   -8.397    0.527
      40   11.032   -9.009    9.999   -7.121    0.725
      41   17.666   -4.088   12.011   -8.133   -0.355
      42   16.774   -7.218    7.548   -5.849   -0.260
      43    8.861   -6.229    5.021   -3.124   -2.899
      44    6.085   -7.359    9.002   -0.415    1.027
      45    4.496   -5.946    9.309   -3.430    3.152
      46    9.632   -4.412    7.384   -2.329    0.221
      47    6.111   -9.268    7.990   -2.687   -0.971
      48    6.613  -10.752    5.413   -5.274   -0.515
      49    7.771  -10.931   10.918   -8.671    0.652
      50    5.947  -11.150    7.794   -3.712   -2.141
      51    9.239   -9.444   12.313   -2.945   -0.423
      52    5.897   -8.068   12.732   -1.882    0.484
      53    1.789   -6.988    9.216   -0.312    1.506
      54    2.888   -4.758   10.663   -5.692    3.179
      55    4.399   -2.700   19.861   -4.637    2.292
      56    8.644   -3.747   16.550   -3.276    2.267
      57    8.838   -3.439   18.403   -7.931    4.888
      58   11.529   -0.377   15.693   -9.088    7.683
      59   13.716    5.076   14.420  -11.942   11.808
      60   12.009    3.027    9.637   -9.567    9.063
      61   13.774    2.432    6.401   -8.133    5.671
      62   15.713    6.796    8.475   -7.007    8.023
      63   16.687    1.622    5.382   -3.480    8.672
      64   14.706    6.236    5.697   -5.851    7.549
      65   11.763   10.041    7.971   -7.355    4.639
      66   13.373    6.337    0.643   -9.771    2.015
      67    9.924    2.755    1.441  -11.948    5.114
      68   11.414    2.044   10.263  -10.231    4.162
      69    8.616    0.732    3.116   -8.150    6.424
      70    6.566    0.588    6.135   -3.829    6.768
      71   17.648    2.579    3.090   -6.345    4.962
      72   17.379   -0.283   10.017   -0.835    4.988
      73   17.007    0.123    7.816   -1.177    5.661
      74   12.680   -1.339    1.956   -3.618    5.752
      75   18.553   -0.577    5.140   -7.264    4.260
      76   10.443   -4.770    3.210   -4.909    1.464
      77    7.575   -4.339   -0.165   -4.559   -0.364
      78   14.682   -2.326    4.977   -6.283    1.188
      79   14.928   -3.513    7.187   -4.374    3.035
      80   16.001   -4.977    3.514   -2.878    3.285
      81   14.922   -4.416   -2.906   -3.322    0.589
      82   15.734   -3.280   -1.045   -4.511   -4.385
      83   20.722   -2.537    1.828   -3.439   -1.187
      84   17.347   -2.985    3.394   -9.207    1.884
      85   16.402   -3.968    5.663   -4.467    3.374
      86   17.412   -4.389   12.541   -6.557    2.872
      87   18.724   -2.867   12.762   -5.661    6.114
      88   14.947   -1.520   16.002   -5.386    6.277
      89   11.595   -1.416   11.030   -6.829    5.382
      90   14.812   -2.983    6.036   -6.017    3.886
      91   10.797   -4.635    7.503   -6.245    1.992
      92   12.349    0.095   10.718   -4.269    2.559
      93   11.697   -3.062   10.669   -5.653    4.391
      94   12.434   -0.746   12.578   -4.467    2.679
      95   15.347   -5.186    6.333   -5.617    2.524
      96   13.253   -2.687    5.513   -2.556    3.383
      97    9.751    0.341    3.321   -4.219    1.281
