#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
       1    0.730   -8.722   -8.509    1.819   -4.222
       2   -1.252   -5.799  -12.776   -3.683   -1.003
       3    5.315    0.614   -6.042    2.308   -5.306
       4    2.484   -1.593   -7.081    6.960   -6.403
       5    3.152    0.330   -7.043    6.302   -5.020
       6    3.075   -2.046   -6.793    1.081   -4.659
       7    4.612    1.514  -10.810    3.153   -1.542
       8    3.210   -4.842   -9.172    1.845   -3.120
       9   -1.044   -5.476  -11.290    0.907   -4.620
      10    3.546   -1.452  -10.914   -5.710   -6.024
      11    4.203   -0.429  -10.602    0.339   -0.881
      12   -0.150   -4.048  -13.312   -0.831    2.195
      13    2.867   -1.574   -9.540    1.502   -2.679
      14    1.863   -2.417   -9.784   -0.324    1.259
      15    3.073    1.980  -10.110    2.400   -0.103
      16    1.986   -5.978   -9.034   -0.948    1.420
      17    1.579   -4.427   -9.574    2.535    1.153
      18    0.405   -4.022  -14.274   -2.395    2.565
      19    3.306   -0.353  -10.920   -3.861    1.018
      20   -0.334   -8.678   -9.830   -3.389   -3.227
      21    1.238   -3.638  -11.803   -2.001   -0.117
      22   -2.419   -3.029   -8.229   -4.372   -5.718
      23   -0.470   -4.231  -10.265   -2.400   -6.570
      24    0.197   -4.815   -9.105    2.851   -4.024
      25   -1.533   -6.288   -8.287   -3.102   -4.952
      26    0.282   -9.308   -9.373   -4.367    3.071
      27   -1.501   -5.115   -8.448   -3.998   -2.680
      28    0.632   -4.855  -12.689   -5.601    1.150
      29   -1.721   -4.292  -11.740   -7.076   -3.133
      30   -0.268    3.012   -8.054   -7.492   -2.264
      31    1.005   -1.444   -9.227   -2.459   -3.431
      32   -1.491   -3.563  -10.384   -0.977    1.331
      33    0.549   -4.766   -9.465   -2.566   -5.822
      34    1.100   -4.921   -9.770   -3.656   -5.159
      35    0.253   -5.786   -8.450   -1.997   -0.545
      36    2.005   -0.269  -12.917    1.964    3.495
      37   -1.385   -1.018  -10.305    1.404    3.379
      38    5.721    0.818  -11.527   -7.522    4.622
      39   -0.613   -2.911  -10.360   -5.960    5.313
      40    4.501   -1.594   -7.808   -3.073    4.161
      41    2.200   -4.317   -7.766   -4.633   -0.369
      42    0.151   -2.695   -7.269   -4.535   -2.292
      43    1.989   -2.470   -8.510   -9.263   -1.273
      44    3.200   -0.447   -9.579   -4.827    1.344
      45    6.248    1.124  -14.950   -4.864    4.381
      46    2.854   -3.844  -12.459   -8.946    5.098
      47    3.487   -4.867  -10.785   -4.781   -2.000
      48   -1.291   -2.973  -10.959   -6.438   -2.796
      49    3.136   -0.748  -10.045   -1.098    1.409
      50    2.424   -1.814  -12.350   -2.116    4.771
      51    3.065   -6.428  -10.772   -3.925    4.971
      52    3.654   -3.769   -9.788   -5.389    6.732
      53    1.168   -1.779  -10.592   -6.399   11.395
      54    5.658   -3.362  -12.118   -4.098   10.202
      55    4.885   -3.680  -15.086   -7.838    8.927
      56    1.691   -6.031  -12.847   -9.010    3.806
      57    3.711   -4.653  -11.787  -11.191    6.995
      58    5.975   -5.281  -10.192   -9.480   -2.385
